Time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30
24,0,0,-0.288,-0.095904,0.192096,-0.036,0.480096,0.576,-0.239904,0.671904,0.771875,-0.365625,0.89375,0.853125,0.325,0.8125,0.690625,0.975,0.40625,0.73125,0.1650825,1.8159075,0.6053025,0.36692337,1.210605,0.44022,0.990495,1.3756875,1.5957975,0.6053025
25,-0.072,0.096192,0,0.095904,0.239904,-0.18,0.480096,0.216,0.192096,1.392192,1.178125,0.284375,-0.121875,-0.121875,0.975,-0.690625,0,0.8125,0.8125,1.259375,0.990495,1.98099,0.4952475,1.28390163,0.7153575,0.88044,1.2656325,1.4857425,1.1555775,0.7153575
26,-0.216,0,-0.144,0.480096,0.384192,0.18,1.008,-0.252,-0.048096,1.919808,0.40625,-0.609375,0.56875,0.40625,1.3,-0.1625,-0.040625,0.121875,0.56875,1.54375,0.8254125,1.32066,1.0455225,0.550275,0.110055,1.5957975,0.9354675,0.550275,1.10055,2.42121
27,0.072,0.671904,-0.432,0,0.671904,-0.432,0.815904,-0.072,-0.432,1.056096,1.096875,1.70625,-0.1625,0.040625,1.1375,0.040625,0.08125,0.528125,0.690625,1.421875,1.54077,1.5957975,1.32066,0.36692337,0.6053025,0.7153575,1.650825,0.9354675,1.3756875,0.44022
28,0.072,0,-0.144,-0.192096,0.144,-0.828,0.480096,0.468,0,0.912096,1.340625,1.665625,0.89375,0.8125,0.0541775,-0.528125,0.40625,1.096875,0.56875,0.040625,-0.22011,1.3756875,1.1555775,0.69708837,-0.7153575,0.8254125,1.1555775,0.4952475,0.6053025,1.32066
29,0.072,0.288,0.144,0.671904,0.239904,-0.324,0.144,0.792,-0.095904,-0.384192,-0.325,0.40625,1.1375,1.015625,0.379145,-0.975,0.40625,1.1375,1.54375,0.528125,0.6053025,2.0360175,1.3756875,-0.22011,1.10055,0.88044,1.5957975,1.32066,1.54077,0.88044
30,0.144,1.247904,0.576,-0.288,0.384192,0.036,0.623808,0.432,0.288,0.480096,0.89375,-1.625,0.690625,-0.203125,0.108355,-0.365625,0.4875,-0.325,0.65,0.284375,1.210605,1.3756875,0.770385,0.47675826,0.2751375,1.0455225,1.9259625,-0.22011,1.54077,0.88044
31,0.288,-0.383904,0.72,0.336096,0.383904,-1.296,0.72,-0.036,1.44,-0.095904,0.4875,-0.284375,-0.446875,-0.325,-0.270855,0.325,0.65,-0.121875,0.1625,-0.771875,1.32066,0.88044,1.4857425,0.07351674,0.990495,1.3756875,0.4952475,-1.430715,1.4857425,0.6053025
32,0.576,0.095904,0.72,0.048096,0.624096,-0.684,0.240192,0.252,1.152,0.144,1.1375,-0.446875,0.1625,0.365625,-0.7583225,-0.121875,-0.609375,-0.934375,1.096875,0.040625,0.2751375,1.1555775,1.32066,1.210605,0.770385,1.54077,0.7153575,0.330165,1.870935,0.7153575
33,0.216,0.576,0.288,0.191808,0.383904,1.08,0.383904,0.324,0.623808,0.335808,1.015625,-0.121875,0.24375,2.19375,-0.4333225,-1.828125,0,0,0.89375,0.975,1.2656325,1.210605,2.3661825,1.10055,0.770385,1.5957975,1.54077,0,1.210605,1.0455225
34,0.216,0.576,0.936,0.480096,0.239904,0.972,0.768096,0.18,0.960192,0.528192,0.65,0.609375,1.178125,-0.040625,-2.383355,0.1625,0,0.040625,1.38125,1.340625,2.1460725,0.8254125,1.2656325,1.02703326,1.430715,1.98099,0.770385,1.32066,1.76088,0.0550275
